Time [ns],V(AM_SI) [mV],V(SI) [mV],Time [ns],V(AM_SI) [mV],V(SI) [mV]
13.97967918,154.8356547,154.8367565,1.65E-08,121.2503706,121.2518374
14.09248147,212.9429301,212.94615,1.6625E-08,1.69E+02,169.4341573
14.20528376,184.026122,184.0315582,1.675E-08,147.51142,147.5161515
14.31808605,82.07990982,82.08615308,1.6875E-08,64.27424996,64.27902424
14.43088834,-55.47762207,-55.47350969,0.000000017,-4.73E+01,-47.33106418
14.54369062,-176.7470175,-176.7482814,1.7125E-08,-141.5911631,-141.593808
14.68134401,-227.704704,-227.7141063,1.725E-08,-158.7247698,-158.7323274
14.8189974,-140.702522,-140.7163733,1.7375E-08,-9.82E+01,-98.25688776
14.95665079,31.20995677,31.2003308,1.75E-08,19.95822779,19.95295004
15.09430418,180.6189776,180.6222734,1.7625E-08,125.2754062,125.2796439
15.23195757,219.3408556,219.358957,1.775E-08,1.57E+02,156.5361655
15.36961096,132.425625,132.4500576,1.7875E-08,100.2039278,100.2206035
15.50726435,-18.93300003,-18.91774996,0.000000018,-9.261848293,-9.253185529
15.64491774,-150.9493215,-150.9564287,1.8125E-08,-1.12E+02,-111.982785
15.78257113,-205.0178101,-205.04782,1.825E-08,-152.6829733,-152.7051738
15.92022452,-154.416625,-154.4539188,1.8375E-08,-110.1958779,-110.2210821
16.0578779,-15.3739457,-15.39434427,1.85E-08,-7.67E+00,-7.685850446
16.19553129,139.0684162,139.082218,1.8625E-08,100.5694715,100.5817626
16.33318468,216.5128886,216.5578694,1.875E-08,154.9135021,154.9460952
16.47083807,170.7585879,170.8099724,1.8875E-08,1.23E+02,122.910259
16.60849146,29.23785517,29.26264855,0.000000019,21.77543156,21.79018372
16.74614485,-127.2077248,-127.2296049,1.9125E-08,-91.02521877,-91.04312079
16.88379824,-211.2882927,-211.3488901,1.925E-08,-1.53E+02,-153.0576638
17.02145163,-178.8206205,-178.8857227,1.9375E-08,-129.8151739,-129.8596981
17.15910502,-48.34205518,-48.37050604,1.95E-08,-33.1635014,-33.18087744
17.29675841,112.4936177,112.5239678,1.9625E-08,8.34E+01,83.3846802
17.4344118,215.0637751,215.1398664,1.975E-08,153.6210558,153.6755335
17.57206518,194.7484939,194.8270992,1.9875E-08,136.8949595,136.9492708
17.70971857,58.72614394,58.75867509,0.00000002,4.12E+01,41.26135443
17.84737196,-112.2669695,-112.3043903,2.0125E-08,-79.25996977,-79.28861663
17.98502535,-217.2460835,-217.3359084,2.025E-08,-154.3671857,-154.431519
18.12267874,-196.467402,-196.5586476,2.0375E-08,-1.40E+02,-140.3294842
18.26033213,-63.28570341,-63.32306001,2.05E-08,-45.84364864,-45.86791046
18.39798552,104.7801047,104.8228267,2.0625E-08,74.1619826,74.19441626
18.53563891,211.6096686,211.7118925,2.075E-08,1.51E+02,151.1492045
18.6732923,197.3715287,197.4755824,2.0875E-08,141.2260846,141.2991076
18.81094569,70.8425005,70.8863226,0.000000021,51.61298416,51.64216071
18.94859908,-94.14556037,-94.19126095,2.1125E-08,-6.48E+01,-64.80129525
19.08625246,-200.3764253,-200.4889131,2.125E-08,-141.4264152,-141.5071323
19.22390585,-188.70727,-188.8230037,2.1375E-08,-136.7501463,-136.8318019
19.36155924,-73.12386727,-73.17469075,2.15E-08,-5.60E+01,-56.03099862
19.49921263,76.71442299,76.7610065,2.1625E-08,53.97229608,54.00709109
19.63686602,181.0684594,181.1888729,2.175E-08,132.8275553,132.9141675
19.77451941,188.9406876,189.0673285,2.1875E-08,1.39E+02,139.3668593
19.9121728,97.4854086,97.54484561,0.000000022,70.3425008,70.38361825
20.04982619,-48.25568599,-48.30009198,2.2125E-08,-37.9416456,-37.97476648
20.18747958,-173.3686998,-173.4943786,2.225E-08,-1.27E+02,-127.5660751
20.32513297,-206.6955006,-206.8320582,2.2375E-08,-147.9823177,-148.0795529
20.46278636,-122.5959356,-122.6647273,2.25E-08,-85.79131534,-85.83940825
20.60043974,35.11286991,35.15324169,2.2625E-08,2.62E+01,26.24997763
20.73809313,175.0359234,175.1646826,2.275E-08,125.436302,125.5289516
20.87574652,215.7597341,215.9046615,2.2875E-08,155.119239,155.2227704
21.01339991,135.2025547,135.2808582,0.000000023,9.79E+01,97.94663579
21.1510533,-19.97730179,-20.01138987,2.3125E-08,-14.31822461,-14.3433288
21.28870669,-163.8390039,-163.9675158,2.325E-08,-119.1593796,-119.2519025
21.42636008,-218.3414574,-218.4924151,2.3375E-08,-1.59E+02,-158.6257599
21.56401347,-153.1959318,-153.284004,2.35E-08,-109.9218301,-109.9847579
21.70166686,-1.502202888,-1.477100781,2.3625E-08,0.724321299,0.742745378
21.83932025,154.6445744,154.7694947,2.375E-08,1.12E+02,112.4487633
21.97697364,226.2195559,226.3746273,2.3875E-08,162.0749112,162.1865378
22.11462702,169.5052481,169.603581,0.000000024,120.7097969,120.7804634
22.25228041,15.20003778,15.18629949,2.4125E-08,1.05E+01,10.51544437
22.3899338,-148.4541633,-148.5726922,2.425E-08,-106.3989002,-106.4844956
22.52758719,-227.9978382,-228.1552907,2.4375E-08,-163.6816859,-163.7953008
22.66524058,-178.9092085,-179.0179094,2.45E-08,-1.29E+02,-129.0380676
22.80289397,-29.92145934,-29.92084462,2.4625E-08,-22.00998887,-22.00949762
22.94054736,134.8892308,134.9989142,2.475E-08,96.98309484,97.06235825
23.07820075,223.887649,224.0455611,2.4875E-08,1.61E+02,161.5273696
23.21585414,187.9372084,188.0558251,0.000000025,135.3883862,135.4742024
23.35350753,46.88912344,46.90284361,2.5125E-08,33.46755002,33.47754925
23.49116091,-121.0021083,-121.1007266,2.525E-08,-8.77E+01,-87.73753851
23.6288143,-222.2215707,-222.3779206,2.5375E-08,-160.536638,-160.6498389
23.76646769,-200.0711677,-200.1989512,2.55E-08,-144.1146631,-144.2072821
23.90412108,-66.00775561,-66.03664348,2.5625E-08,-4.69E+01,-46.90664173
24.04177447,106.2999443,106.3856677,2.575E-08,77.23361536,77.29564058
24.17942786,220.4749863,220.6279246,2.5875E-08,158.4263807,158.5371738
24.31708125,210.552817,210.6886798,0.000000026,1.50E+02,150.1150333
24.45473464,79.55805007,79.60214195,2.6125E-08,55.55348261,55.58559334
24.59238803,-99.44585183,-99.51749311,2.625E-08,-71.86425249,-71.91598036
24.73004142,-223.2865551,-223.4341027,2.6375E-08,-1.59E+02,-159.2398812
24.86769481,-218.8202141,-218.9622693,2.65E-08,-155.4379238,-155.5410305
25.00534819,-87.58929261,-87.64795842,2.6625E-08,-62.3417655,-62.38463107
25.14300158,94.13668316,94.19300715,2.675E-08,6.66E+01,66.68150436
25.28065497,220.8712771,221.0109671,2.6875E-08,157.0682434,157.1694686
25.41830836,219.9998035,220.14593,0.000000027,156.8769937,156.9832371
25.55596175,92.88271025,92.955507,2.7125E-08,6.64E+01,66.4246975
25.69361514,-87.25689941,-87.29653497,2.725E-08,-62.33477489,-62.36319195
25.83126853,-217.55226,-217.6818909,2.7375E-08,-155.4297259,-155.5237502
25.96892192,-223.6025525,-223.7509655,2.75E-08,-1.60E+02,-159.6722379
